mode,ox/red,error,control changes,counter inc.,time/s,control/V,Ewe/V,<I>/mA,P/W
2,0,0,1,0,671.9794,0.124301262,0.124444596,-0.000545261,6.79E-08
2,0,0,0,0,671.9849,0.12375135,0.124021851,-0.000534587,6.63E-08
2,0,0,0,0,671.9949,0.122751601,0.12297406,-0.000542549,6.67E-08
2,0,0,0,0,672.0049,0.121751837,0.121923089,-0.000538086,6.56E-08
2,0,0,0,0,672.0149,0.120752066,0.120883785,-0.000547879,6.62E-08
2,0,0,0,0,672.0249,0.119752303,0.119918637,-0.00054606,6.55E-08
2,0,0,0,0,672.0349,0.118752539,0.118940756,-0.000549524,6.54E-08
2,0,0,0,0,672.0449,0.117752776,0.117882371,-0.000555486,6.55E-08
2,0,0,0,0,672.0549,0.116753004,0.116961725,-0.000552596,6.46E-08
2,0,0,0,0,672.0649,0.115753241,0.115928769,-0.000563521,6.53E-08
2,0,0,0,0,672.0749,0.114753477,0.114887342,-0.000560766,6.44E-08
2,0,0,0,0,672.0849,0.113753721,0.1139635,-0.000564766,6.44E-08
2,0,0,0,0,672.0949,0.112753958,0.112907238,-0.000571029,6.45E-08
2,0,0,0,0,672.1049,0.111754194,0.112021551,-0.000567665,6.36E-08
2,0,0,0,0,672.1149,0.110754423,0.110932447,-0.000578603,6.42E-08
2,0,0,0,0,672.1249,0.109754659,0.109910071,-0.000576588,6.34E-08
2,0,0,0,0,672.1349,0.108754896,0.108913146,-0.000580852,6.33E-08
2,0,0,0,0,672.1449,0.107755132,0.107898206,-0.00058723,6.34E-08
2,0,0,0,0,672.1549,0.106755368,0.106918216,-0.000583376,6.24E-08
2,0,0,0,0,672.1649,0.105755605,0.105879955,-0.000594652,6.30E-08
2,0,0,0,0,672.1749,0.104755841,0.104895741,-0.000591326,6.20E-08
2,0,0,0,0,672.1849,0.103756078,0.103938013,-0.000595698,6.19E-08
2,0,0,0,0,672.1949,0.102756314,0.102937885,-0.000603724,6.21E-08
2,0,0,0,0,672.2049,0.10175655,0.101964258,-0.000599489,6.11E-08
2,0,0,0,0,672.2149,0.100756787,0.100948259,-0.000610916,6.17E-08
2,0,0,0,0,672.2249,0.099757016,0.099919543,-0.000607743,6.07E-08
2,0,0,0,0,672.2349,0.098757252,0.098896131,-0.00061299,6.06E-08
2,0,0,0,0,672.2449,0.097757489,0.097911902,-0.000620544,6.08E-08
2,0,0,0,0,672.2549,0.096757725,0.096901193,-0.000616485,5.97E-08
2,0,0,0,0,672.2649,0.095757969,0.095919095,-0.00062569,6.00E-08
2,0,0,0,0,672.2749,0.094758198,0.0949497,-0.000625342,5.94E-08
2,0,0,0,0,672.2849,0.093758434,0.093917802,-0.000629025,5.91E-08
2,0,0,0,0,672.2949,0.09275867,0.092891201,-0.00063651,5.91E-08
2,0,0,0,0,672.3049,0.091758914,0.091966316,-0.000633,5.82E-08
2,0,0,0,0,672.3149,0.090759143,0.090955608,-0.000643112,5.85E-08
2,0,0,0,0,672.3249,0.089759372,0.089884505,-0.000642219,5.77E-08
2,0,0,0,0,672.3349,0.088759616,0.088942669,-0.000646966,5.75E-08
2,0,0,0,0,672.3449,0.087759845,0.087892756,-0.000654004,5.75E-08
2,0,0,0,0,672.3549,0.086760081,0.086912766,-0.000650844,5.66E-08
2,0,0,0,0,672.3649,0.085760318,0.085909478,-0.000662218,5.69E-08
2,0,0,0,0,672.3749,0.084760562,0.084940098,-0.000660587,5.61E-08
2,0,0,0,0,672.3849,0.083760791,0.08391349,-0.000664865,5.58E-08
2,0,0,0,0,672.3949,0.082761027,0.08296635,-0.000670899,5.57E-08
2,0,0,0,0,672.4049,0.081761263,0.081920676,-0.000669998,5.49E-08
2,0,0,0,0,672.4149,0.080761507,0.080978841,-0.000680797,5.51E-08
2,0,0,0,0,672.4249,0.079761736,0.079971314,-0.000678705,5.43E-08
2,0,0,0,0,672.4349,0.078761973,0.078934118,-0.000683953,5.40E-08
2,0,0,0,0,672.4449,0.077762216,0.077986978,-0.000691089,5.39E-08
2,0,0,0,0,672.4549,0.076762445,0.076964609,-0.000688386,5.30E-08
2,0,0,0,0,672.4649,0.075762682,0.0759698,-0.000701167,5.33E-08
2,0,0,0,0,672.4749,0.074762911,0.074979223,-0.000698886,5.24E-08
2,0,0,0,0,672.4849,0.073763154,0.073964275,-0.000703561,5.20E-08
2,0,0,0,0,672.4949,0.072763391,0.07297688,-0.00071245,5.20E-08
2,0,0,0,0,672.5049,0.07176362,0.072001137,-0.000709957,5.11E-08
2,0,0,0,0,672.5149,0.070763856,0.070963942,-0.000721899,5.12E-08
2,0,0,0,0,672.5249,0.0697641,0.069974415,-0.000720784,5.04E-08
2,0,0,0,0,672.5349,0.068764329,0.068938278,-0.000726002,5.00E-08
2,0,0,0,0,672.5449,0.067764565,0.06801445,-0.000734762,5.00E-08
2,0,0,0,0,672.5549,0.066764809,0.066984668,-0.000732292,4.91E-08
2,0,0,0,0,672.5649,0.065765038,0.065950654,-0.000744212,4.91E-08
2,0,0,0,0,672.5749,0.064765267,0.064953722,-0.000743045,4.83E-08
2,0,0,0,0,672.5849,0.063765511,0.063964203,-0.000748786,4.79E-08
2,0,0,0,0,672.5949,0.062765747,0.062948197,-0.000757351,4.77E-08
2,0,0,0,0,672.6049,0.061765987,0.061990462,-0.000755259,4.68E-08
2,0,0,0,0,672.6149,0.060766224,0.060927842,-0.000767788,4.68E-08
2,0,0,0,0,672.6249,0.05976646,0.059936207,-0.000767678,4.60E-08
2,0,0,0,0,672.6349,0.0587667,0.058988012,-0.000773808,4.56E-08
2,0,0,0,0,672.6449,0.057766933,0.057913739,-0.000783037,4.53E-08
